2017-03-28 9:57:16 - PHP Notice:  Undefined variable: store in E:\xampp\htdocs\vc_fitness_new\admin\login\view\template\sale\order_info.tpl on line 535
2017-03-28 9:58:03 - PHP Notice:  Undefined variable: store in E:\xampp\htdocs\vc_fitness_new\admin\login\view\template\sale\order_info.tpl on line 535
2017-03-28 9:59:41 - PHP Notice:  Undefined variable: store in E:\xampp\htdocs\vc_fitness_new\admin\login\view\template\sale\order_info.tpl on line 506
2017-03-28 10:00:26 - PHP Notice:  Undefined variable: store in E:\xampp\htdocs\vc_fitness_new\admin\login\view\template\sale\order_info.tpl on line 504
2017-03-28 10:00:29 - PHP Notice:  Undefined variable: store in E:\xampp\htdocs\vc_fitness_new\admin\login\view\template\sale\order_info.tpl on line 504
2017-03-29 8:18:55 - PHP Notice:  Undefined variable: package_info in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:18:55 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 114
2017-03-29 8:18:55 - PHP Notice:  Undefined variable: pack_id in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 264
2017-03-29 8:19:52 - PHP Notice:  Undefined variable: package_info in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:19:52 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
